item_id,timestamp,target,category,price,is_promotion,is_holiday,holiday_name,is_weekend,is_month_start,is_month_end,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,year
SKU_0000,2024-01-01,341.14,GROCERY,10.32,0,0,,0,1,0,0,1,1,1,1,1,2024
SKU_0000,2024-01-02,382.71,GROCERY,10.14,0,0,,0,1,0,1,2,2,1,1,1,2024
SKU_0000,2024-01-03,385.89,GROCERY,9.77,0,0,,0,1,0,2,3,3,1,1,1,2024
SKU_0000,2024-01-04,290.21,GROCERY,9.71,0,0,,0,1,0,3,4,4,1,1,1,2024
SKU_0000,2024-01-05,246.55,GROCERY,9.14,0,0,,0,1,0,4,5,5,1,1,1,2024
SKU_0000,2024-01-06,200.87,GROCERY,9.79,0,0,,1,0,0,5,6,6,1,1,1,2024
SKU_0000,2024-01-07,240.61,GROCERY,10.73,0,0,,1,0,0,6,7,7,1,1,1,2024
SKU_0000,2024-01-08,329.67,GROCERY,11.28,0,0,,0,0,0,0,8,8,2,1,1,2024
SKU_0000,2024-01-09,593.95,GROCERY,7.7,1,0,,0,0,0,1,9,9,2,1,1,2024
SKU_0000,2024-01-10,465.95,GROCERY,9.7,0,0,,0,0,0,2,10,10,2,1,1,2024
SKU_0000,2024-01-11,338.61,GROCERY,9.73,0,0,,0,0,0,3,11,11,2,1,1,2024
SKU_0000,2024-01-12,214.55,GROCERY,10.41,0,0,,0,0,0,4,12,12,2,1,1,2024
SKU_0000,2024-01-13,274.77,GROCERY,11.39,0,0,,1,0,0,5,13,13,2,1,1,2024
SKU_0000,2024-01-14,238.65,GROCERY,10.37,0,0,,1,0,0,6,14,14,2,1,1,2024
SKU_0000,2024-01-15,210.68,GROCERY,9.5,0,0,,0,0,0,0,15,15,3,1,1,2024
SKU_0000,2024-01-16,371.97,GROCERY,9.77,0,0,,0,0,0,1,16,16,3,1,1,2024
SKU_0000,2024-01-17,335.96,GROCERY,9.43,0,0,,0,0,0,2,17,17,3,1,1,2024
SKU_0000,2024-01-18,313.87,GROCERY,9.66,0,0,,0,0,0,3,18,18,3,1,1,2024
SKU_0000,2024-01-19,390.11,GROCERY,8.52,1,0,,0,0,0,4,19,19,3,1,1,2024
SKU_0000,2024-01-20,161.63,GROCERY,9.9,0,0,,1,0,0,5,20,20,3,1,1,2024
SKU_0000,2024-01-21,241.75,GROCERY,10.17,0,0,,1,0,0,6,21,21,3,1,1,2024
SKU_0000,2024-01-22,229.0,GROCERY,9.91,0,0,,0,0,0,0,22,22,4,1,1,2024
SKU_0000,2024-01-23,356.19,GROCERY,10.41,0,0,,0,0,0,1,23,23,4,1,1,2024
SKU_0000,2024-01-24,309.74,GROCERY,9.48,0,0,,0,0,0,2,24,24,4,1,1,2024
SKU_0000,2024-01-25,352.09,GROCERY,10.18,0,0,,0,0,1,3,25,25,4,1,1,2024
SKU_0000,2024-01-26,195.11,GROCERY,11.69,0,0,,0,0,1,4,26,26,4,1,1,2024
SKU_0000,2024-01-27,193.06,GROCERY,10.04,0,0,,1,0,1,5,27,27,4,1,1,2024
SKU_0000,2024-01-28,228.06,GROCERY,10.45,0,0,,1,0,1,6,28,28,4,1,1,2024
SKU_0000,2024-01-29,270.59,GROCERY,10.74,0,0,,0,0,1,0,29,29,5,1,1,2024
SKU_0000,2024-01-30,345.51,GROCERY,9.89,0,0,,0,0,1,1,30,30,5,1,1,2024
SKU_0000,2024-01-31,407.62,GROCERY,10.46,0,0,,0,0,1,2,31,31,5,1,1,2024
